0.001	0.0808227	0.0808227	0.0808227	0.0808227	133154
0.002	0.0757495	0.0757495	0.0757495	0.0757495	44700
0.003	0.0761295	0.0761295	0.0761295	0.0761295	66627
0.004	0.0693515	0.0693515	0.0693515	0.0693515	21791
0.005	0.0733383	0.0733383	0.0733383	0.0733383	47010
0.006	0.0689863	0.0689863	0.0689863	0.0689863	29543
0.007	0.067834	0.067834	0.067834	0.067834	20508
0.008	0.0679408	0.0679408	0.0679408	0.0679408	31187
0.009	0.064774	0.064774	0.064774	0.064774	25517
0.01	0.0641537	0.0641537	0.0641537	0.0641537	26842
0.011	0.0592694	0.0592694	0.0592694	0.0592694	13583
0.012	0.0624709	0.0624709	0.0624709	0.0624709	24199
0.013	0.0590456	0.0590456	0.0590456	0.0590456	21832
0.014	0.0594165	0.0594165	0.0594165	0.0594165	14017
0.015	0.0590005	0.0590005	0.0590005	0.0590005	20907
0.016	0.0575664	0.0575664	0.0575664	0.0575664	19564
0.017	0.0547133	0.0547133	0.0547133	0.0547133	11613
0.018	0.0563528	0.0563528	0.0563528	0.0563528	18990
0.019	0.0550155	0.0550155	0.0550155	0.0550155	18532
0.02	0.0526959	0.0526959	0.0526959	0.0526959	16628
0.021	0.0528002	0.0528002	0.0528002	0.0528002	10218
0.022	0.0521198	0.0521198	0.0521198	0.0521198	16773
0.023	0.0537046	0.0537046	0.0537046	0.0537046	16012
0.024	0.053811	0.053811	0.053811	0.053811	9615
0.025	0.0504567	0.0504567	0.0504567	0.0504567	15409
0.026	0.052442	0.052442	0.052442	0.052442	14295
0.027	0.0485591	0.0485591	0.0485591	0.0485591	14360
0.028	0.0493302	0.0493302	0.0493302	0.0493302	8224
0.029	0.0488985	0.0488985	0.0488985	0.0488985	13249
0.03	0.0489895	0.0489895	0.0489895	0.0489895	14139
0.031	0.0526864	0.0526864	0.0526864	0.0526864	8405
0.032	0.0452741	0.0452741	0.0452741	0.0452741	12746
0.033	0.0465014	0.0465014	0.0465014	0.0465014	11902
0.034	0.0438333	0.0438333	0.0438333	0.0438333	7406
0.035	0.0432373	0.0432373	0.0432373	0.0432373	12700
0.036	0.0441195	0.0441195	0.0441195	0.0441195	11922
0.037	0.0406244	0.0406244	0.0406244	0.0406244	12113
0.038	0.0462238	0.0462238	0.0462238	0.0462238	7771
0.039	0.041788	0.041788	0.041788	0.041788	11025
0.04	0.0394182	0.0394182	0.0394182	0.0394182	10947
0.041	0.0386138	0.0386138	0.0386138	0.0386138	6752
0.042	0.0392308	0.0392308	0.0392308	0.0392308	11184
0.043	0.0401128	0.0401128	0.0401128	0.0401128	10623
0.044	0.0388207	0.0388207	0.0388207	0.0388207	10700
0.045	0.0405539	0.0405539	0.0405539	0.0405539	7250
0.046	0.0395903	0.0395903	0.0395903	0.0395903	10749
0.047	0.0368986	0.0368986	0.0368986	0.0368986	10418
0.048	0.0380052	0.0380052	0.0380052	0.0380052	6007
0.049	0.0372241	0.0372241	0.0372241	0.0372241	10378
0.05	0.0411957	0.0411957	0.0411957	0.0411957	9579
0.051	0.0374079	0.0374079	0.0374079	0.0374079	6560
0.052	0.0370948	0.0370948	0.0370948	0.0370948	9881
0.053	0.036933	0.036933	0.036933	0.036933	9031
0.054	0.0368263	0.0368263	0.0368263	0.0368263	9608
0.055	0.0377582	0.0377582	0.0377582	0.0377582	6343
0.056	0.034424	0.034424	0.034424	0.034424	8556
0.057	0.0348625	0.0348625	0.0348625	0.0348625	9334
0.058	0.0343615	0.0343615	0.0343615	0.0343615	6263
0.059	0.0323638	0.0323638	0.0323638	0.0323638	9294
0.06	0.032942	0.032942	0.032942	0.032942	9282
0.061	0.030421	0.030421	0.030421	0.030421	9435
0.062	0.0337914	0.0337914	0.0337914	0.0337914	5431
